# number of embeddings of Sn into Sm
# took around 200hrs to calculate on i3 4370 32GB
KIGEN Computational Semigroup Theory Software System Version 18.01.05
([[1 1] 1]
 [[1 2] 1]
 [[2 2] 1]
 [[1 3] 1]
 [[2 3] 1]
 [[3 3] 1]
 [[1 4] 1]
 [[2 4] 2]
 [[3 4] 1]
 [[4 4] 1]
 [[1 5] 1]
 [[2 5] 2]
 [[3 5] 2]
 [[4 5] 1]
 [[5 5] 1]
 [[1 6] 1]
 [[2 6] 3]
 [[3 6] 4]
 [[4 6] 4]
 [[5 6] 2]
 [[6 6] 1]
 [[1 7] 1]
 [[2 7] 3]
 [[3 7] 5]
 [[4 7] 5]
 [[5 7] 3]
 [[6 7] 1]
 [[7 7] 1]
 [[1 8] 1]
 [[2 8] 4]
 [[3 8] 7]
 [[4 8] 10]
 [[5 8] 4]
 [[6 8] 2]
 [[7 8] 1]
 [[8 8] 1]
 [[1 9] 1]
 [[2 9] 4]
 [[3 9] 10]
 [[4 9] 13]
 [[5 9] 5]
 [[6 9] 2]
 [[7 9] 2]
 [[8 9] 1]
 [[9 9] 1])
